Model,Selected_C,CV_AUC,Holdout_AUC,Gini,KS,Selected_For_Final
Original credit_amount,0.1,0.788674764471313,0.7959665054841372,0.5919330109682743,0.5223493336478359,True
log1p(credit_amount),0.5,0.7842305124247967,0.7901875221134568,0.5803750442269136,0.517513857766246,False
